Player,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,All Stars,Group
A.J. Price,0.47750000000000004,0.4475,148.25,2.05,8.899999999999999,5.35,22.9,13.1,1.85,0.2,20.3,3.55,1.05,100.80000000000001,107.9,-6.85,206.0,11.9,44.0,12.9,0,1
Aaron Brooks,0.518,0.484,159.5,2.0,6.6,4.6,24.2,14.9,1.4,0.6,23.1,1.9,1.1,103.2,111.6,-7.7,318.3,12.4,69.0,21.6,0,1
Aaron Gordon,0.534,0.5035000000000001,145.55,5.75,18.0,11.8,11.649999999999999,11.350000000000001,1.25,1.85,20.35,0.65,1.2,107.55,109.35,-3.0,730.75,15.1,75.0,31.7,0,2
Aaron Gray,0.544,0.533,105.6,12.1,27.0,20.2,5.4,21.9,1.1,1.7,13.3,-4.1,1.3,100.8,107.5,-3.7,144.0,11.1,49.0,16.6,0,3
Aaron Holiday,0.5195000000000001,0.487,161.75,1.45,9.65,5.5,18.95,12.55,1.7000000000000002,0.9,19.1,3.0999999999999996,1.1,103.3,111.7,-6.15,282.95,11.65,66.0,17.8,0,1
Aaron Nesmith,0.54,0.516,153.35000000000002,3.75,14.8,9.4,4.949999999999999,12.3,1.4,1.0,15.45,-2.05,1.15,103.94999999999999,109.94999999999999,-6.0,129.05,8.25,46.0,14.5,0,1
Abdel Nader,0.522,0.498,149.3,2.0,12.1,7.5,6.5,12.8,1.3,1.6,17.0,-2.1,1.1,101.7,108.5,-6.8,148.8,8.8,55.0,11.4,0,1
Al Harrington,0.531,0.503,150.8,4.65,16.95,10.95,8.55,12.149999999999999,1.4,0.5,23.5,-2.75,1.15,102.05000000000001,108.0,-6.05,478.09999999999997,13.850000000000001,72.0,27.5,0,2
Al Horford,0.574,0.547,164.5,6.5,20.3,13.1,17.4,11.2,1.3,3.2,19.7,3.45,1.2,115.1,103.9,12.0,983.6,19.4,73.0,31.85,5,3
Al Jefferson,0.523,0.4955,132.3,7.15,24.7,16.25,11.350000000000001,6.449999999999999,1.25,3.0,25.549999999999997,0.30000000000000004,1.1,107.2,104.15,3.3,960.7,19.85,73.0,33.1,0,3
Al Thornton,0.527,0.481,147.85000000000002,5.45,11.7,8.55,7.15,11.6,1.2000000000000002,1.0,18.55,-1.8,1.2,104.25,111.55,-7.3,363.6,11.7,73.0,23.6,0,1
Al-Farouq Aminu,0.516,0.479,144.2,6.1,21.2,13.8,7.2,13.7,2.1,1.8,15.2,-1.2,1.2,104.9,106.7,-2.9,626.9,12.7,76.0,27.2,0,3
Alan Anderson,0.522,0.4795,158.85000000000002,2.4000000000000004,9.2,5.9,8.4,10.75,1.5499999999999998,0.45,17.4,-0.65,1.15,102.44999999999999,110.0,-7.65,304.85,10.0,74.0,23.0,0,1
Alec Burks,0.524,0.467,159.1,2.5,15.0,8.7,14.0,11.0,1.5,0.7,22.3,-0.4,1.2,105.2,109.8,-5.0,300.3,13.6,64.0,23.55,0,2
Aleksej Pokusevski,0.4575,0.44099999999999995,137.8,4.45,19.0,11.649999999999999,14.7,17.6,1.2,3.0999999999999996,20.25,-1.8,0.95,88.44999999999999,113.3,-24.85,336.4,8.95,61.0,20.2,0,1
Alex Abrines,0.56,0.531,162.3,1.9,7.7,4.6,4.3,7.9,1.7,0.6,12.7,-0.6,1.2,113.0,109.9,2.1,195.9,9.0,71.5,15.3,0,1
